label,source_path,processed_path,status
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_1000.jpg,/content/asl-static-recognition/data/processed/0/P10_0_1000.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_901.jpg,/content/asl-static-recognition/data/processed/0/P10_0_901.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_902.jpg,/content/asl-static-recognition/data/processed/0/P10_0_902.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_903.jpg,/content/asl-static-recognition/data/processed/0/P10_0_903.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_904.jpg,/content/asl-static-recognition/data/processed/0/P10_0_904.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_905.jpg,/content/asl-static-recognition/data/processed/0/P10_0_905.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_906.jpg,/content/asl-static-recognition/data/processed/0/P10_0_906.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_907.jpg,/content/asl-static-recognition/data/processed/0/P10_0_907.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_908.jpg,/content/asl-static-recognition/data/processed/0/P10_0_908.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_909.jpg,/content/asl-static-recognition/data/processed/0/P10_0_909.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_910.jpg,/content/asl-static-recognition/data/processed/0/P10_0_910.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_911.jpg,/content/asl-static-recognition/data/processed/0/P10_0_911.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_912.jpg,/content/asl-static-recognition/data/processed/0/P10_0_912.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_913.jpg,/content/asl-static-recognition/data/processed/0/P10_0_913.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_914.jpg,/content/asl-static-recognition/data/processed/0/P10_0_914.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_915.jpg,/content/asl-static-recognition/data/processed/0/P10_0_915.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_916.jpg,/content/asl-static-recognition/data/processed/0/P10_0_916.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_917.jpg,/content/asl-static-recognition/data/processed/0/P10_0_917.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_918.jpg,/content/asl-static-recognition/data/processed/0/P10_0_918.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_919.jpg,/content/asl-static-recognition/data/processed/0/P10_0_919.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_920.jpg,/content/asl-static-recognition/data/processed/0/P10_0_920.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_921.jpg,/content/asl-static-recognition/data/processed/0/P10_0_921.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_922.jpg,/content/asl-static-recognition/data/processed/0/P10_0_922.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_923.jpg,/content/asl-static-recognition/data/processed/0/P10_0_923.jpg,ok
0,/content/asl-static-recognition/data/raw/asl_dataset/0/P10_0_924.jpg,/content/asl-static-recognition/data/processed/0/P10_0_924.jpg,ok
